height,allInterlinks,validInterlinks,missingPtrs
1258242,7,33,-1
1258243,7,33,-1
1258244,5,33,-1
1258245,6,33,-1
1258246,7,33,-1
1258247,7,33,-1
1258248,6,33,-1
1258249,6,33,-1
1258250,7,33,-1
1258251,7,33,-1
1258252,6,33,-1
1258253,7,33,-1
1258254,7,33,-1
1258255,7,33,-1
1258256,8,33,-1
1258257,7,33,-1
1258258,8,33,-1
1258259,4,33,-1
1258260,5,33,-1
1258261,5,33,-1
1258262,5,33,-1
1258263,5,33,-1
1258264,6,33,-1
1258265,6,33,-1
1258266,6,33,-1
1258267,6,33,-1
1258268,7,33,-1
1258269,7,33,-1
1258270,7,33,-1
1258271,7,33,-1
1258272,8,33,-1
1258273,6,33,-1
1258274,5,33,-1
1258275,6,33,-1
1258276,7,33,-1
1258277,7,33,-1
1258278,8,33,-1
1258279,7,33,-1
1258280,7,33,-1
1258281,6,33,-1
1258282,7,33,-1
1258283,7,33,-1
1258284,7,33,-1
1258285,6,33,-1
1258286,5,33,-1
1258287,6,33,-1
1258288,6,33,-1
1258289,7,33,-1
1258290,5,33,-1
1258291,4,33,-1
1258292,5,33,-1
1258293,6,33,-1
1258294,5,33,-1
1258295,6,33,-1
1258296,6,33,-1
1258297,4,33,-1
1258298,5,33,-1
1258299,5,33,-1
1258300,6,33,-1
1258301,6,33,-1
1258302,6,33,-1
1258303,7,33,-1
1258304,5,33,-1
1258305,6,33,-1
1258306,6,33,-1
1258307,6,33,-1
1258308,7,33,-1
1258309,7,33,-1
1258310,8,33,-1
1258311,5,33,-1
1258312,6,33,-1
1258313,6,33,-1
1258314,6,33,-1
1258315,6,33,-1
1258316,6,33,-1
1258317,7,33,-1
1258318,8,33,-1
1258319,7,33,-1
1258320,8,33,-1
1258321,8,33,-1
1258322,9,33,-1
1258323,8,33,-1
1258324,8,33,-1
1258325,8,33,-1
1258326,8,33,-1
1258327,9,33,-1
1258328,9,33,-1
1258329,8,33,-1
1258330,7,33,-1
1258331,8,33,-1
1258332,8,33,-1
1258333,7,33,-1
1258334,8,33,-1
1258335,9,33,-1
1258336,8,33,-1
1258337,7,33,-1
1258338,8,33,-1
1258339,8,33,-1
1258340,4,33,-1
1258341,5,33,-1
1258342,5,33,-1
1258343,5,33,-1
1258344,5,33,-1
1258345,5,33,-1
1258346,5,33,-1
1258347,5,33,-1
1258348,6,33,-1
1258349,7,33,-1
1258350,7,33,-1
1258351,6,33,-1
1258352,5,33,-1
1258353,6,33,-1
1258354,6,33,-1
1258355,5,33,-1
1258356,6,33,-1
1258357,5,33,-1
1258358,5,33,-1
1258359,6,33,-1
1258360,6,33,-1
1258361,6,33,-1
1258362,6,33,-1
1258363,6,33,-1
1258364,6,33,-1
1258365,7,33,-1
1258366,7,33,-1
1258367,8,33,-1
1258368,8,33,-1
1258369,6,33,-1
1258370,5,33,-1
1258371,6,33,-1
1258372,3,33,-1
1258373,4,33,-1
1258374,5,33,-1
1258375,5,33,-1
1258376,4,33,-1
1258377,5,33,-1
1258378,4,33,-1
1258379,5,33,-1
1258380,6,33,-1
1258381,4,33,-1
1258382,5,33,-1
1258383,5,33,-1
1258384,4,33,-1
1258385,5,33,-1
1258386,5,33,-1
1258387,4,33,-1
1258388,5,33,-1
1258389,5,33,-1
1258390,4,33,-1
1258391,5,33,-1
1258392,6,33,-1
1258393,4,33,-1
1258394,5,33,-1
1258395,6,33,-1
1258396,5,33,-1
1258397,5,33,-1
1258398,6,33,-1
1258399,6,33,-1
1258400,6,33,-1
1258401,6,33,-1
1258402,7,33,-1
1258403,6,33,-1
1258404,5,33,-1
1258405,4,33,-1
1258406,5,33,-1
1258407,6,33,-1
1258408,6,33,-1
1258409,5,33,-1
1258410,5,33,-1
1258411,6,33,-1
1258412,6,33,-1
1258413,6,33,-1
1258414,6,33,-1
1258415,6,33,-1
1258416,6,33,-1
1258417,7,33,-1
1258418,5,33,-1
1258419,6,33,-1
1258420,5,33,-1
1258421,6,33,-1
1258422,7,33,-1
1258423,7,33,-1
1258424,7,33,-1
1258425,6,33,-1
1258426,7,33,-1
1258427,6,33,-1
1258428,7,33,-1
1258429,7,33,-1
1258430,5,33,-1
1258431,6,33,-1
1258432,7,33,-1
1258433,7,33,-1
1258434,6,33,-1
1258435,7,33,-1
1258436,6,33,-1
1258437,6,33,-1
1258438,7,33,-1
1258439,8,33,-1
1258440,7,33,-1
1258441,6,33,-1
1258442,7,33,-1
1258443,7,33,-1
1258444,7,33,-1
1258445,1,33,-1
1258446,2,33,-1
1258447,3,33,-1
